ID,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,Position,Country,Draft Round,Draft Number,SGap
220,Nemanja Bjelica,3949999,MIN,29,62,35,27,20.3,7,2.6,5.5,47.9,1.2,2.7,43.1,0.5,0.7,79.1,0.7,3.3,4.1,1.3,0.8,0.7,0.2,2.1,15.7,1,0,0,F,Serbia,2,35,1
221,J.J. Barea,3903900,DAL,33,67,22,45,23.5,11.7,4.4,10.1,43.6,1.7,4.6,36.4,1.2,1.5,78.4,0.2,2.7,2.9,6.3,2.1,0.5,0,1.2,24.3,6,0,0.3,G,Puerto Rico,Undrafted,Undrafted,1
222,Quincy Pondexter,3853931,CHI,30,23,6,17,8.5,2,0.6,2.1,28.6,0.1,1,13.6,0.6,0.7,82.4,0.3,0.8,1.2,0.4,0.5,0.3,0.1,1,4.8,0,0,-3.9,G,USA,1,26,1
223,Lauri Markkanen,3821640,CHI,20,63,21,42,30.2,14.9,5.4,12.7,42.8,2,5.9,34.3,2,2.3,86.2,1.2,6.4,7.6,1.2,1.2,0.6,0.6,1.6,27.9,14,0,-6.1,F,Finland,1,7,1
224,Nik Stauskas,3807146,BKN,24,35,11,24,12.2,4.1,1.3,3.4,38.3,0.9,2.3,40.7,0.5,0.6,77.3,0.1,1.4,1.5,0.8,0.6,0.2,0.1,0.5,7.4,0,0,-1.8,G,Canada,1,8,1
225,Willie Cauley-Stein,3704160,SAC,24,67,20,47,27.8,12.3,5.1,10.3,49.3,0,0.2,25,2.1,3.3,62.9,1.8,5,6.8,2.3,1.5,1.1,0.9,2.5,28.5,10,0,-4.9,C,USA,1,6,1
226,Buddy Hield,3675480,SAC,24,74,24,50,24.9,13.3,5.1,11.6,44.3,2.2,5.2,42.1,0.9,1,89.3,0.6,3.2,3.8,1.9,1.5,0.9,0.3,1.8,22.9,0,0,-1.5,G,Bahamas,1,6,1
227,Will Barton,3533333,DEN,27,75,41,34,32.7,15.2,5.6,12.5,44.8,1.9,5.1,36.9,2.1,2.6,80.8,0.8,4.1,4.9,4.1,1.9,1,0.7,2,30.4,0,0,1.1,F,USA,2,40,1
228,Noah Vonleh,3505233,CHI,22,52,22,30,16.4,5,2,4.4,44.5,0.4,1.2,29.7,0.7,1.1,64.3,1.3,4.5,5.9,0.6,0.5,0.3,0.3,1.3,14.5,3,0,-0.9,F,USA,1,9,1
229,Frank Ntilikina,3501120,NYK,19,73,26,47,21.1,5.7,2.2,6.1,35.9,0.6,1.9,31.4,0.7,0.9,72.1,0.4,1.8,2.2,3.1,1.7,0.8,0.2,2.3,14.3,1,0,-1.3,G,France,1,8,1
230,Nene,3477600,HOU,35,49,40,9,14.6,6.7,2.7,4.7,58.3,0,0,0,1.3,2,65.6,1,2.4,3.4,0.9,0.8,0.5,0.3,2.4,13.8,0,0,5.3,C,Brazil,1,7,1
231,Zaza Pachulia,3477600,GSW,34,64,44,20,14.4,5.6,2.3,4,56.7,0,0,0,1.1,1.4,80.5,1.3,3.5,4.8,1.6,1.1,0.6,0.2,1.8,15.1,2,0,3.3,C,Georgia,2,42,1
